player_id,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,5year_approx_value,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done
1891,Quanterus Smith,EDGE,Western Kentucky,77,250,4.74,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Group of 5,46,2.9347826086956523,0.8913043478260869,0.5217391304347826,0.10869565217391304,33.25,10.375,1.0,1,0,0,0,0,0
1911,Devin Taylor,EDGE,South Carolina,79,266,4.72,35.0,14.0,128.0,6.89,4.3,Power 5,52,3.0961538461538463,0.6826923076923077,0.3557692307692308,0.038461538461538464,36.0,10.375,13.0,1,1,1,1,1,1
1934,Cornelius Washington,EDGE,Georgia,76,265,4.55,39.0,36.0,128.0,7.208514851485148,4.396206896551725,Power 5,51,1.4901960784313726,0.3333333333333333,0.20588235294117646,0.0,34.0,9.5,5.0,1,1,1,1,0,0
1940,Bjoern Werner,EDGE,Florida State,75,266,4.83,31.0,25.0,111.0,7.3,4.4,Power 5,41,2.4146341463414633,0.8536585365853658,0.573170731707317,0.07317073170731707,33.25,9.625,10.0,1,1,1,1,1,1
1955,Tourek Williams,EDGE,Florida International,75,260,4.92,33.0,25.0,112.0,7.208514851485148,4.396206896551725,Group of 5,49,3.061224489795918,0.9183673469387755,0.3673469387755102,0.04081632653061224,32.5,9.5,5.0,1,1,1,1,0,0
1978,Jeremiah Attaochu,EDGE,Georgia Tech,75,252,4.763778625954199,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,49,4.0,0.8877551020408163,0.6428571428571429,0.08163265306122448,33.0,9.875,9.0,0,0,0,0,0,0
2019,Will Clarke,EDGE,West Virginia,78,271,4.77,32.0,22.0,112.0,7.26,4.57,Power 5,37,2.972972972972973,0.7702702702702703,0.25675675675675674,0.02702702702702703,34.625,9.875,6.0,1,1,1,1,1,1
2021,Jadeveon Clowney,EDGE,South Carolina,77,266,4.53,37.5,21.0,124.0,7.27,4.43,Power 5,36,3.5833333333333335,1.3055555555555556,0.6666666666666666,0.25,34.5,10.0,42.0,1,1,1,1,1,1
2031,Scott Crichton,EDGE,Oregon State,75,273,4.84,31.5,24.0,108.0,7.19,4.29,Power 5,38,4.342105263157895,1.3421052631578947,0.618421052631579,0.2631578947368421,32.75,10.125,2.0,1,1,1,1,1,1
2044,Kony Ealy,EDGE,Missouri,76,273,4.92,31.0,22.0,114.0,6.83,4.45,Power 5,39,2.4615384615384617,0.717948717948718,0.34615384615384615,0.15384615384615385,34.25,9.5,13.0,1,1,1,1,1,1
