player_id,Player,School,conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,5year_approx_value
3656,Jordan Brailford,Oklahoma State,Power 5,37,134.0,30.5,15.0,2,32.5,9.125,1.0
3664,Austin Bryant,Clemson,Power 5,50,129.0,36.0,20.0,2,34.625,9.625,5.0
3667,Brian Burns,Florida State,Power 5,38,124.0,39.5,24.0,7,33.875,10.0,39.0
3687,Maxx Crosby,East. Michigan,Group of 5,37,162.0,41.0,20.0,8,32.875,9.75,51.0
3716,Clelin Ferrell,Clemson,Power 5,45,165.0,50.0,27.0,5,34.125,10.5,21.0
3728,Rashan Gary,Michigan,Power 5,35,136.0,24.5,10.5,1,34.125,9.625,22.0
3739,Gerri Green,Mississippi State,Power 5,52,161.0,20.5,8.5,3,33.0,10.0,0.0
3767,Justin Hollins,Oregon,Power 5,52,184.0,36.5,13.0,8,33.375,10.375,9.0
3779,Joe Jackson,Miami (FL),Power 5,39,138.0,37.5,24.0,5,34.125,10.0,1.0
3785,Jalen Jelks,Oregon,Power 5,44,156.0,29.5,15.0,2,34.625,9.625,0.0
3790,Darryl Johnson,North Carolina A&T,FCS,45,119.0,42.0,29.0,8,33.875,10.0,4.0
3800,Dre'Mont Jones,Ohio State,Power 5,39,115.0,22.0,9.5,1,33.75,9.625,25.0
3833,Christian Miller,Alabama,Power 5,45,58.0,16.0,11.5,0,33.0,10.0,1.0
3835,Shareef Miller,Penn State,Power 5,40,100.0,31.5,14.5,1,33.625,10.125,0.0
3847,Anthony Nelson,Iowa,Power 5,39,119.0,31.0,23.0,4,34.875,9.875,12.0
3853,Charles Omenihu,Texas,Power 5,50,117.0,30.5,17.0,4,36.0,9.375,11.0
3860,Jachai Polite,Florida,Power 5,32,78.0,26.5,15.0,8,32.625,9.75,1.0
3898,Sutton Smith,Northern Illinois,Group of 5,39,139.0,58.0,30.0,7,30.75,9.0,0.0
3904,Montez Sweat,Mississippi State,Power 5,30,105.0,30.0,22.5,1,35.75,10.5,39.0
3922,D'Andre Walker,Georgia,Power 5,54,113.0,27.5,13.5,5,33.75,10.125,0.0
3947,Chase Winovich,Michigan,Power 5,44,184.0,44.5,18.0,3,32.75,10.0,11.0
3953,Oshane Ximines,Old Dominion,Group of 5,50,176.0,51.5,33.0,11,33.0,9.875,8.0
3961,Bradlee Anae,Utah,Power 5,47,135.0,41.5,30.0,6,32.125,10.125,1.0
4026,Marlon Davidson,Auburn,Power 5,51,175.0,29.5,17.0,4,33.0,10.0,5.0
4052,A.J. Epenesa,Iowa,Power 5,39,101.0,36.5,26.5,9,34.5,10.125,17.0
4065,Jonathan Garvin,Miami,Power 5,37,106.0,29.0,12.5,4,34.0,9.625,3.0
4068,Trevis Gipson,Tulsa,Group of 5,49,114.0,25.5,13.0,8,33.875,9.625,10.0
